variable;text
age;Wie alt sind Sie? Open-Ended Response
gender;Bitte geben Sie Ihr Geschlecht an. Response
KUT1;"BitteåÊgeben Sie an, wie sehr sie folgenden Fragen zustimmen. ""Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert werde, allein lÌ¦sen."""
KUT2;"X13 ""Technische GerÌ_te sind oft undurchschaubar und schwer zu beherrschen."""
KUT3;"X14 ""Es macht mir richtig SpaÌÙ, ein technisches Problem zu knacken."""
KUT4;"X15 ""Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch kÌ_nftigen technischen Problemen optimistisch entgegen."""
KUT5;"X16 ""Ich fÌ_hle mich technischen GerÌ_ten gegenÌ_ber so hilflos, dass ich die Finger von ihnen lasse."""
KUT6;"X17 ""Auch wenn WiderstÌ_nde auftreten, bearbeite ich ein technisches Problem weiter."""
KUT7;"X18 ""Wenn ich ein technisches Problem lÌ¦se, so geschieht es meistens durch GlÌ_ck."""
KUT8;"X19 ""Die meisten technischen Probleme sind so kompliziert, dass es wenig Sinn hat, sich mit ihnen auseinander zu setzen."""
job_type;Bitte geben Sie Ihren Berufstand an. Response_1
job;X21 In welchem Beruf arbeiten Sie?
diffpref1;"BitteåÊgeben Sie an, wie sehr sie folgenden AussagenåÊzustimmen. ""Schwierige Probleme reizen mich mehr als einfache."""
diffpref2;"X23 ""Ich suche Aufgaben, die meine FÌ_higkeiten herausfordern."""
diffpref3;"X24 ""Gerade schwierige Aufgaben fordern mich heraus."""
diffpref4;"X25 ""Ich mag es eine schwere Nuss knacken zu mÌ_ssen."""
diffpref5;"X26 ""Ich denke hauptsÌ_chlich, wenn ich denken muss."""
diffpref6;"X27 ""Mir reicht es aus die richtige Antwort zu kennen, auch ohne die GrÌ_nde dahinter zu kennen."""
tv1;"X28 ""Ich habe viel Erfahrung im Umgang mit neuer Technik."""
tv2;"X29 ""Ich nutze gerne immer die neuste Technik."""
tv3;"X30 ""Ich vertraue auf Technik."""
tv4;"X31 ""Technik funktioniert meistens gut."""
dsb1;"X32 ""Ich bin besorgt, ob mit Daten in unserer Gesellschaft vorsichtig umgegangen wird."""
dsb2;"X33 ""Ich finde, mit Daten sollte vorsichtiger umgegangen werden."""
dsb3;"X34 ""Technik stellt im Allgemeinen einen guten Datenschutz sicher."""
dsb4;"X35 ""Datenschutz wird in Technik hÌ_ufig schlecht sicher gestellt."""
autot1;"X36 ""Ich finde viel mehr Dinge kÌ¦nnten im Leben automatisiert werden."""
autot2;"X37 ""Ich bin gegen die Automatisierung sÌ_mtlicher Prozesse."""
pflege1;Bitte geben Sie wie sehr folgende Aussagen auf Sie zutreffen. In meiner Familie gibt es Personen, die auf hÌ_usliche Pflege angewiesen sind.
pflege2;X39 In meinem weiteren Umfeld gibt es Personen, die auf hÌ_usliche Pflege angewiesen sind.
pflege3;X40 Ich habe Erfahrung in der Pflege von kÌ¦rperlich beeintrÌ_chtigten Menschen.
pflege4;X41 Ich war schon einmal auf kÌ¦rperliche Pflege angewiesen.
robo_bed;Wie gerne wÌ_rden Sie,åÊdie folgenden Aktionen von einem Roboter durchfÌ_hren lassen? Hilfe beim Einsteigen ins Bett
robo_food;X54 Nahrungsaufnahme (FÌ_ttern lassen)
robo_med;X55 Medikamentengabe
robo_body;X56 KÌ¦rper eincremen
robo_hair_wash;X57 Haare waschen
robo_mass;X58 Massieren
robo_bath;X59 Ein- und Ausstieg aus der Badewanne
robo_wash;X60 Waschen
robo_toilett;X61 Hilfe beim Toilettengang
robot_face;X62 Gesicht eincremen
robo_hair_cut;X63 Haare kÌ_mmen und schneiden
human_bed;Welche der folgenden Aktionen wÌ_rden Sie von einem menschlichen Pfleger durchfÌ_hren lassen? Hilfe beim Einsteigen ins Bett_1
human_food;X65 Nahrungsaufnahme (FÌ_ttern lassen)_1
human_med;X66 Medikamentengabe_1
human_body;X67 KÌ¦rper eincremen_1
human_hair_wash;X68 Haare waschen_1
human_mass;X69 Massieren_1
human_bath;X70 Ein- und Ausstieg aus der Badewanne_1
human_wash;X71 Waschen_1
human_toilett;X72 Hilfe beim Toilettengang_1
human_face;X73 Gesicht eincremen_1
human_hair_cut;X74 Haare kÌ_mmen und schneiden_1
human_trost;Wie sehr stimmen sie folgenden Aussagen zu?åÊ Die Umarmung eines menschlichen Pflegers spendet mir Trost.
robo_trost;X76 Die Umarmung eines Roboters spendet mir Trost.
comments;Platz fÌ_r Anmerkungen Open-Ended Response_1
